snr_db,accuracy,accuracy_percent,samples
-5,0.6742424242424242,67.42424242424242,924
0,0.7543290043290043,75.43290043290042,924
5,0.7651515151515151,76.51515151515152,924
10,0.7727272727272727,77.27272727272727,924
20,0.7781385281385281,77.81385281385282,924
