model,overall_accuracy_percent,snr_-5_accuracy_percent,strong_cn2_accuracy_percent
ResNet-50,76.75324675324676,71.21212121212122,43.03030303030303
Swin-T,74.89177489177489,67.42424242424242,40.0
SAM3 baseline,63.701298701298704,54.87012987012987,31.818181818181817
SE-SAM3 (Ours),81.1038961038961,71.64502164502164,46.06060606060606
