cn2,accuracy,accuracy_percent,samples
1e-15,0.9196969696969697,91.96969696969697,660
2.5e-15,0.9045454545454545,90.45454545454545,660
5e-15,0.9212121212121213,92.12121212121212,660
7.5e-15,0.9181818181818182,91.81818181818183,660
1e-14,0.9166666666666666,91.66666666666666,660
5e-14,0.6363636363636364,63.63636363636363,660
1e-13,0.46060606060606063,46.06060606060606,660
