topological_charge_abs,accuracy,accuracy_percent,samples
0,0.888095238095238,88.80952380952381,420
1,0.8357142857142857,83.57142857142857,420
2,0.8595238095238096,85.95238095238096,420
3,0.8690476190476191,86.90476190476191,420
4,0.7833333333333333,78.33333333333333,420
5,0.8523809523809524,85.23809523809524,420
6,0.780952380952381,78.0952380952381,420
7,0.7523809523809524,75.23809523809524,420
8,0.8023809523809524,80.23809523809524,420
9,0.6976190476190476,69.76190476190476,420
10,0.8,80.0,420
