Cn2,ResNet-50,Swin-T,SAM3 baseline,SE-SAM3 (Ours)
1e-15,88.18181818181819,85.9090909090909,75.15151515151514,91.96969696969695
2.5e-15,89.54545454545455,90.30303030303033,79.0909090909091,90.45454545454544
5e-15,88.18181818181819,88.03030303030303,76.2121212121212,92.12121212121212
7.5e-15,86.81818181818181,83.18181818181817,71.96969696969697,91.81818181818184
1e-14,86.06060606060606,83.18181818181817,69.6969696969697,91.66666666666666
5e-14,55.45454545454545,53.63636363636364,41.96969696969697,63.63636363636363
1e-13,43.03030303030303,40.0,31.818181818181817,46.06060606060606
