SNR(dB),ResNet-50,Swin-T,SAM3 baseline,SE-SAM3 (Ours)
-5,71.21212121212122,67.42424242424242,54.87012987012987,71.64502164502164
0,75.75757575757575,75.43290043290042,60.71428571428571,80.95238095238095
5,76.19047619047619,76.51515151515152,64.5021645021645,83.22510822510823
10,79.87012987012987,77.27272727272727,69.48051948051948,85.17316017316018
20,80.73593073593074,77.81385281385282,68.93939393939394,84.52380952380952
