target_occlusion,sample_count,correct_count,error_count,same_order_error_count,cross_order_error_count,adjacent_phase_error_count,same_order_adjacent_phase_error_count,phase_only_error_count,order_only_error_count,order_and_phase_error_count,label_accuracy,error_rate,same_order_error_fraction_of_errors,cross_order_error_fraction_of_errors,adjacent_phase_error_fraction_of_errors,same_order_adjacent_phase_error_fraction_of_errors,phase_only_error_fraction_of_errors,order_only_error_fraction_of_errors,order_and_phase_error_fraction_of_errors
0.0,6720,5814,906,195,711,302,165,195,51,660,0.8651785714285715,0.13482142857142856,0.2152317880794702,0.7847682119205298,0.3333333333333333,0.18211920529801323,0.2152317880794702,0.056291390728476824,0.7284768211920529
0.1,6720,5769,951,250,701,338,210,250,55,646,0.8584821428571429,0.14151785714285714,0.2628811777076761,0.7371188222923238,0.35541535226077814,0.22082018927444794,0.2628811777076761,0.05783385909568875,0.6792849631966351
0.2,6720,5718,1002,270,732,384,235,270,65,667,0.8508928571428571,0.14910714285714285,0.2694610778443114,0.7305389221556886,0.38323353293413176,0.2345309381237525,0.2694610778443114,0.06487025948103792,0.6656686626746507
0.3,6720,5642,1078,344,734,465,304,344,74,660,0.8395833333333333,0.16041666666666668,0.31910946196660483,0.6808905380333952,0.4313543599257885,0.2820037105751391,0.31910946196660483,0.0686456400742115,0.6122448979591837
0.4,6720,5554,1166,464,702,580,423,464,84,618,0.8264880952380952,0.17351190476190476,0.3979416809605489,0.6020583190394511,0.4974271012006861,0.362778730703259,0.3979416809605489,0.07204116638078903,0.5300171526586621
