target_snr_db,sample_count,correct_count,error_count,same_order_error_count,cross_order_error_count,adjacent_phase_error_count,same_order_adjacent_phase_error_count,phase_only_error_count,order_only_error_count,order_and_phase_error_count,label_accuracy,error_rate,same_order_error_fraction_of_errors,cross_order_error_fraction_of_errors,adjacent_phase_error_fraction_of_errors,same_order_adjacent_phase_error_fraction_of_errors,phase_only_error_fraction_of_errors,order_only_error_fraction_of_errors,order_and_phase_error_fraction_of_errors
0.0,6720,5686,1034,313,721,419,278,313,68,653,0.8461309523809524,0.15386904761904763,0.3027079303675048,0.6972920696324951,0.40522243713733075,0.2688588007736944,0.3027079303675048,0.06576402321083172,0.6315280464216635
5.0,6720,5708,1012,304,708,414,267,304,64,644,0.8494047619047619,0.1505952380952381,0.30039525691699603,0.6996047430830039,0.4090909090909091,0.26383399209486164,0.30039525691699603,0.06324110671936758,0.6363636363636364
10.0,6720,5696,1024,309,715,418,271,309,66,649,0.8476190476190476,0.1523809523809524,0.3017578125,0.6982421875,0.408203125,0.2646484375,0.3017578125,0.064453125,0.6337890625
15.0,6720,5702,1018,300,718,410,262,300,66,652,0.8485119047619047,0.15148809523809523,0.29469548133595286,0.7053045186640472,0.4027504911591356,0.25736738703339884,0.29469548133595286,0.06483300589390963,0.6404715127701375
20.0,6720,5705,1015,297,718,408,259,297,65,653,0.8489583333333334,0.15104166666666666,0.29261083743842364,0.7073891625615764,0.4019704433497537,0.25517241379310346,0.29261083743842364,0.06403940886699508,0.6433497536945813
