cn2,sample_count,correct_count,error_count,same_order_error_count,cross_order_error_count,adjacent_phase_error_count,same_order_adjacent_phase_error_count,phase_only_error_count,order_only_error_count,order_and_phase_error_count,label_accuracy,error_rate,same_order_error_fraction_of_errors,cross_order_error_fraction_of_errors,adjacent_phase_error_fraction_of_errors,same_order_adjacent_phase_error_fraction_of_errors,phase_only_error_fraction_of_errors,order_only_error_fraction_of_errors,order_and_phase_error_fraction_of_errors
1.0000000036274937e-15,4800,4800,0,0,0,0,0,0,0,0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan
2.499999956129175e-15,4800,4800,0,0,0,0,0,0,0,0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan
4.99999991225835e-15,4800,4765,35,35,0,35,35,35,0,0,0.9927083333333333,0.007291666666666667,1.0,0.0,1.0,1.0,1.0,0.0,0.0
9.9999998245167e-15,4800,4786,14,14,0,14,14,14,0,0,0.9970833333333333,0.002916666666666667,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2.499999956129175e-14,4800,4205,595,232,363,286,232,232,28,335,0.8760416666666667,0.12395833333333334,0.3899159663865546,0.6100840336134454,0.48067226890756304,0.3899159663865546,0.3899159663865546,0.047058823529411764,0.5630252100840336
4.99999991225835e-14,4800,2980,1820,432,1388,580,377,432,69,1319,0.6208333333333333,0.37916666666666665,0.23736263736263735,0.7626373626373626,0.31868131868131866,0.20714285714285716,0.23736263736263735,0.03791208791208791,0.7247252747252747
9.9999998245167e-14,4800,2161,2639,810,1829,1154,679,810,232,1597,0.4502083333333333,0.5497916666666667,0.30693444486547933,0.6930655551345206,0.4372868510799545,0.2572944297082228,0.30693444486547933,0.08791208791208792,0.6051534672224328
