method,cn2,distance,target_occlusion,sample_count,label_accuracy,order_accuracy,phase_accuracy,mean_phase_bin_error,mean_confidence,mean_achieved_occlusion
A1_MASK_ULS,2.5e-14,1000.0,,1600,0.68,0.775,0.6975,0.7275,0.33778419090659995,0.20006878432736758
A1_MASK_ULS,5e-14,250.0,,800,0.99875,1.0,0.99875,0.00125,0.6483229546651645,0.2001836401510018
A1_MASK_ULS,5e-14,500.0,,1600,0.93875,1.0,0.93875,0.06125,0.5051978917192911,0.20013570355425742
A1_MASK_ULS,5e-14,750.0,,800,0.65625,0.7975,0.65625,0.69125,0.2853028694521905,0.20009644666769297
A1_MASK_ULS,5e-14,1000.0,,1600,0.086875,0.225625,0.13,1.95875,0.22481769616602712,0.20006521460873583
A1_MASK_ULS,1e-13,250.0,,800,1.0,1.0,1.0,0.0,0.6654556611056992,0.20014328315854882
A1_MASK_ULS,1e-13,500.0,,1600,0.63125,0.86,0.663125,0.474375,0.31676008800141825,0.20015648503514805
A1_MASK_ULS,1e-13,750.0,,800,0.07625,0.26875,0.115,1.965,0.16073437266930546,0.2000687285819286
A1_MASK_ULS,1e-13,1000.0,,1600,0.193125,0.369375,0.285625,1.3175,0.2733325159625929,0.20006253729055984
A2_RAW_VWLS,1e-15,250.0,,800,1.0,1.0,1.0,0.0,0.7193472699402667,0.20017213613779838
A2_RAW_VWLS,1e-15,500.0,,1600,1.0,1.0,1.0,0.0,0.7194574157818849,0.20012048329528617
A2_RAW_VWLS,1e-15,750.0,,800,1.0,1.0,1.0,0.0,0.7524680352198712,0.20009803098881435
A2_RAW_VWLS,1e-15,1000.0,,1600,1.0,1.0,1.0,0.0,0.69852757767583,0.2000669809862567
A2_RAW_VWLS,2.5e-15,250.0,,800,1.0,1.0,1.0,0.0,0.7158125567906464,0.20017433280572405
A2_RAW_VWLS,2.5e-15,500.0,,1600,1.0,1.0,1.0,0.0,0.7822020200678975,0.20013330560937337
A2_RAW_VWLS,2.5e-15,750.0,,800,1.0,1.0,1.0,0.0,0.7783535326396279,0.2000937105823316
A2_RAW_VWLS,2.5e-15,1000.0,,1600,1.0,1.0,1.0,0.0,0.6543841920128098,0.20006789874569378
A2_RAW_VWLS,5e-15,250.0,,800,1.0,1.0,1.0,0.0,0.6807285522321433,0.20015370439313154
A2_RAW_VWLS,5e-15,500.0,,1600,1.0,1.0,1.0,0.0,0.6947290893050843,0.20012490691530693
A2_RAW_VWLS,5e-15,750.0,,800,1.0,1.0,1.0,0.0,0.7079323653113314,0.200093517303649
A2_RAW_VWLS,5e-15,1000.0,,1600,0.968125,1.0,0.968125,0.031875,0.5722369612170424,0.20006330536067324
A2_RAW_VWLS,1e-14,250.0,,800,1.0,1.0,1.0,0.0,0.7681638152578384,0.20018420424186054
A2_RAW_VWLS,1e-14,500.0,,1600,0.998125,1.0,0.998125,0.001875,0.6229461597743886,0.2001197870546308
A2_RAW_VWLS,1e-14,750.0,,800,1.0,1.0,1.0,0.0,0.6304233864201029,0.2001042586723193
A2_RAW_VWLS,1e-14,1000.0,,1600,0.990625,1.0,0.990625,0.009375,0.5550373853540465,0.20007606156098223
A2_RAW_VWLS,2.5e-14,250.0,,800,1.0,1.0,1.0,0.0,0.6910936018227528,0.2001533246807633
A2_RAW_VWLS,2.5e-14,500.0,,1600,0.99625,1.0,0.99625,0.00375,0.6056714539690033,0.20012409376334964
A2_RAW_VWLS,2.5e-14,750.0,,800,0.87875,1.0,0.87875,0.12125,0.500458601282648,0.2000837183681307
A2_RAW_VWLS,2.5e-14,1000.0,,1600,0.67625,0.768125,0.69375,0.746875,0.32131967484013124,0.20006878432736758
A2_RAW_VWLS,5e-14,250.0,,800,1.0,1.0,1.0,0.0,0.6300739774597686,0.2001836401510018
A2_RAW_VWLS,5e-14,500.0,,1600,0.940625,1.0,0.940625,0.059375,0.49255269981662403,0.20013570355425742
A2_RAW_VWLS,5e-14,750.0,,800,0.62,0.76875,0.6225,0.7975,0.2666402190762982,0.20009644666769297
A2_RAW_VWLS,5e-14,1000.0,,1600,0.09375,0.245,0.136875,1.916875,0.22077445350363065,0.20006521460873583
A2_RAW_VWLS,1e-13,250.0,,800,1.0,1.0,1.0,0.0,0.6467782297745225,0.20014328315854882
A2_RAW_VWLS,1e-13,500.0,,1600,0.610625,0.859375,0.65,0.478125,0.30805854021232454,0.20015648503514805
A2_RAW_VWLS,1e-13,750.0,,800,0.08125,0.26375,0.1125,1.9675,0.15400479237372167,0.2000687285819286
A2_RAW_VWLS,1e-13,1000.0,,1600,0.195625,0.368125,0.2875,1.311875,0.25711675783899113,0.20006253729055984
A3_MC_VWLS,1e-15,250.0,,800,1.0,1.0,1.0,0.0,0.732352908017356,0.20017213613779838
A3_MC_VWLS,1e-15,500.0,,1600,1.0,1.0,1.0,0.0,0.7344838142106888,0.20012048329528617
A3_MC_VWLS,1e-15,750.0,,800,1.0,1.0,1.0,0.0,0.7704814643684995,0.20009803098881435
A3_MC_VWLS,1e-15,1000.0,,1600,1.0,1.0,1.0,0.0,0.722472117855958,0.2000669809862567
A3_MC_VWLS,2.5e-15,250.0,,800,1.0,1.0,1.0,0.0,0.7279466649967082,0.20017433280572405
A3_MC_VWLS,2.5e-15,500.0,,1600,1.0,1.0,1.0,0.0,0.7936297258758731,0.20013330560937337
A3_MC_VWLS,2.5e-15,750.0,,800,1.0,1.0,1.0,0.0,0.7908042949723302,0.2000937105823316
A3_MC_VWLS,2.5e-15,1000.0,,1600,1.0,1.0,1.0,0.0,0.6764084507610835,0.20006789874569378
A3_MC_VWLS,5e-15,250.0,,800,1.0,1.0,1.0,0.0,0.6936116877629362,0.20015370439313154
A3_MC_VWLS,5e-15,500.0,,1600,1.0,1.0,1.0,0.0,0.7083833944822686,0.20012490691530693
A3_MC_VWLS,5e-15,750.0,,800,1.0,1.0,1.0,0.0,0.7250443471600562,0.200093517303649
A3_MC_VWLS,5e-15,1000.0,,1600,0.978125,1.0,0.978125,0.021875,0.5886676998869074,0.20006330536067324
A3_MC_VWLS,1e-14,250.0,,800,1.0,1.0,1.0,0.0,0.7777705679559989,0.20018420424186054
A3_MC_VWLS,1e-14,500.0,,1600,0.999375,1.0,0.999375,0.000625,0.6356572812722266,0.2001197870546308
A3_MC_VWLS,1e-14,750.0,,800,1.0,1.0,1.0,0.0,0.6444313510578941,0.2001042586723193
A3_MC_VWLS,1e-14,1000.0,,1600,0.991875,1.0,0.991875,0.008125,0.5668147055166062,0.20007606156098223
A3_MC_VWLS,2.5e-14,250.0,,800,1.0,1.0,1.0,0.0,0.701151290773872,0.2001533246807633
A3_MC_VWLS,2.5e-14,500.0,,1600,0.996875,1.0,0.996875,0.003125,0.6100461747862206,0.20012409376334964
A3_MC_VWLS,2.5e-14,750.0,,800,0.905,1.0,0.905,0.095,0.5143498766759089,0.2000837183681307
A3_MC_VWLS,2.5e-14,1000.0,,1600,0.67875,0.773125,0.69625,0.734375,0.32508876170505935,0.20006878432736758
A3_MC_VWLS,5e-14,250.0,,800,0.99875,1.0,0.99875,0.00125,0.6366694030001608,0.2001836401510018
A3_MC_VWLS,5e-14,500.0,,1600,0.939375,1.0,0.939375,0.060625,0.49816201769974955,0.20013570355425742
A3_MC_VWLS,5e-14,750.0,,800,0.67125,0.81125,0.67125,0.6675,0.2826798061301202,0.20009644666769297
A3_MC_VWLS,5e-14,1000.0,,1600,0.088125,0.226875,0.13125,1.953125,0.21129145891196846,0.20006521460873583
A3_MC_VWLS,1e-13,250.0,,800,1.0,1.0,1.0,0.0,0.6546045987526345,0.20014328315854882
A3_MC_VWLS,1e-13,500.0,,1600,0.619375,0.858125,0.653125,0.484375,0.30921357191636545,0.20015648503514805
A3_MC_VWLS,1e-13,750.0,,800,0.0775,0.265,0.1125,1.96375,0.15374971096961812,0.2000687285819286
A3_MC_VWLS,1e-13,1000.0,,1600,0.1925,0.36625,0.28625,1.315,0.26044338592103555,0.20006253729055984
