metric,first_method,second_method,sample_count,first_accuracy,second_accuracy,first_only_correct,second_only_correct,discordant_count,mcnemar_statistic,asymptotic_pvalue,exact_pvalue,accuracy_difference_second_minus_first,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_probability_positive,bootstrap_probability_negative,bh_adjusted_exact_pvalue,significant_at_0_05
label_correct,A0_DAF,A1_MASK_ULS,33600,0.8456547619047619,0.8485714285714285,56,154,210,44.804761904761904,2.17692632523975e-11,9.09962981851058e-12,0.002916666666666667,0.0020833333333333333,0.0037507440476190366,1.0,0.0,1.6379333673319046e-10,1
label_correct,A0_DAF,A2_RAW_VWLS,33600,0.8456547619047619,0.8457142857142858,45,47,92,0.010869565217391304,0.9169652366288644,0.9170405196524711,5.9523809523809524e-05,-0.0005059523809523809,0.000625,0.5607,0.4002,0.9709840796320282,0
label_correct,A0_DAF,A3_MC_VWLS,33600,0.8456547619047619,0.848125,56,139,195,34.48205128205128,4.3020008426580455e-09,2.4906019125079637e-09,0.0024702380952380952,0.0016956845238095303,0.003273809523809524,1.0,0.0,1.494361147504778e-08,1
label_correct,A1_MASK_ULS,A2_RAW_VWLS,33600,0.8485714285714285,0.8457142857142858,161,65,226,39.93362831858407,2.6274055743909466e-10,1.3953782373736297e-10,-0.002857142857142857,-0.00375,-0.0019940476190476192,0.0,1.0,1.2558404136362668e-09,1
label_correct,A1_MASK_ULS,A3_MC_VWLS,33600,0.8485714285714285,0.848125,39,24,63,3.111111111111111,0.07775989643932947,0.07692583360960925,-0.0004464285714285714,-0.0009226190476190477,0.0,0.0226,0.9699,0.11538875041441388,0
label_correct,A2_RAW_VWLS,A3_MC_VWLS,33600,0.8457142857142858,0.848125,55,136,191,33.50785340314136,7.097682373407048e-09,4.192333604266895e-09,0.0024107142857142856,0.0016071428571428571,0.003244047619047619,1.0,0.0,1.8865501219201024e-08,1
order_correct,A0_DAF,A1_MASK_ULS,33600,0.8920535714285714,0.8934821428571429,46,94,140,15.778571428571428,7.120441633556116e-05,6.10603214521753e-05,0.0014285714285714286,0.000744047619047619,0.002113095238095238,1.0,0.0,0.00010990857861391556,1
order_correct,A0_DAF,A2_RAW_VWLS,33600,0.8920535714285714,0.8931845238095238,14,52,66,20.742424242424242,5.253901516726726e-06,2.8220182313622557e-06,0.001130952380952381,0.0006845238095238096,0.0016071428571428571,1.0,0.0,5.644036462724511e-06,1
order_correct,A0_DAF,A3_MC_VWLS,33600,0.8920535714285714,0.893452380952381,49,96,145,14.593103448275862,0.00013340186620123789,0.00011759999636577908,0.0013988095238095237,0.0006845238095238096,0.0020833333333333333,0.9998,0.0002,0.00019243635768945668,1
order_correct,A1_MASK_ULS,A2_RAW_VWLS,33600,0.8934821428571429,0.8931845238095238,70,60,130,0.6230769230769231,0.42990617506590423,0.43002088397534205,-0.00029761904761904765,-0.0009821428571428572,0.00035714285714285714,0.1751,0.801,0.5239208764946953,0
order_correct,A1_MASK_ULS,A3_MC_VWLS,33600,0.8934821428571429,0.893452380952381,19,18,37,0.0,1.0,1.0,-2.9761904761904762e-05,-0.0003869047619047619,0.00032738095238095237,0.4027,0.5315,1.0,0
order_correct,A2_RAW_VWLS,A3_MC_VWLS,33600,0.8931845238095238,0.893452380952381,53,62,115,0.5565217391304348,0.45566509139334405,0.45581402955519157,0.00026785714285714287,-0.00035714285714285714,0.0008928571428571428,0.7912,0.1799,0.5239208764946953,0
phase_correct,A0_DAF,A1_MASK_ULS,33600,0.8558928571428571,0.8583035714285714,71,152,223,28.699551569506728,8.452330195053442e-08,6.114826013154143e-08,0.0024107142857142856,0.0015476190476190477,0.0033035714285714287,1.0,0.0,1.834447803946243e-07,1
phase_correct,A0_DAF,A2_RAW_VWLS,33600,0.8558928571428571,0.8556547619047619,50,42,92,0.532608695652174,0.4655121698741867,0.4657074457730625,-0.0002380952380952381,-0.0008035714285714286,0.00032738095238095237,0.1859,0.7847,0.5239208764946953,0
phase_correct,A0_DAF,A3_MC_VWLS,33600,0.8558928571428571,0.8579166666666667,70,138,208,21.58173076923077,3.390662343740109e-06,2.7936152380932865e-06,0.0020238095238095236,0.0011904761904761906,0.002857142857142857,1.0,0.0,5.644036462724511e-06,1
phase_correct,A1_MASK_ULS,A2_RAW_VWLS,33600,0.8583035714285714,0.8556547619047619,167,78,245,31.60816326530612,1.8863495994394764e-08,1.3191411328040016e-08,-0.0026488095238095238,-0.0035714285714285713,-0.001755952380952381,0.0,1.0,4.748908078094406e-08,1
phase_correct,A1_MASK_ULS,A3_MC_VWLS,33600,0.8583035714285714,0.8579166666666667,41,28,69,2.0869565217391304,0.1485617748918687,0.14803218069275836,-0.0003869047619047619,-0.0008630952380952381,8.928571428571429e-05,0.0511,0.935,0.2049676348053577,0
phase_correct,A2_RAW_VWLS,A3_MC_VWLS,33600,0.8556547619047619,0.8579166666666667,67,143,210,26.785714285714285,2.273115424380089e-07,1.6853916320559544e-07,0.002261904761904762,0.0014285714285714286,0.0030952380952380953,1.0,0.0,4.3338641967153113e-07,1
