category,relative_path,description,required,exists,is_file,status,size_bytes,size_display,csv_data_rows,modified_time,sha256
additional,results/figures/fig_occlusion_qc.pdf,Additional generated experiment output,0,1,1,PASS,563552,550.344 KiB,,2026-08-04T17:06:31,24c5d5962c4927dcdca6dc6a2fbca2fdfaca42ea4c7b8eb471c6678202ce85f0
additional,results/figures/fig_occlusion_qc.png,Additional generated experiment output,0,1,1,PASS,950349,928.075 KiB,,2026-08-04T17:06:30,aad683a7bc98ea0a9d6dde0ef616d0eea700bd5e5579ea410d47f1f0deb0cbfb
additional,results/figures/fig_receiver_noise_qc.pdf,Additional generated experiment output,0,1,1,PASS,565097,551.853 KiB,,2026-08-04T17:34:11,41a5b368770806e43a105b5fbbbb3f7c1044100733e7aded2823b7fc4780b902
additional,results/figures/fig_receiver_noise_qc.png,Additional generated experiment output,0,1,1,PASS,1535165,1.464 MiB,,2026-08-04T17:34:10,df4854e93aeb8a7cbaac9ff6209e2f94a624ee691b9324c729b67f5792a39d4d
additional,results/tables/Table1_dataset_statistics.csv,Additional generated experiment output,0,1,1,PASS,945,945.000 B,15,2026-08-04T19:50:16,e969332263ec2a9355fe7b6f0b3ac2271000033b47ce733b40c682dfe4aa03b4
additional,results/tables/Table2_occlusion_validation.csv,Additional generated experiment output,0,1,1,PASS,753,753.000 B,5,2026-08-04T19:50:16,c05730bc17356cd991a88ed0719983637f1d5bee4e5531509cecc7d7b56ee972
additional,results/tables/Table3_noise_validation.csv,Additional generated experiment output,0,1,1,PASS,630,630.000 B,5,2026-08-04T19:50:16,448ac7b335c890a0842d9729fe6363348f6a8ecf9bf6de0d81990c2da30163e3
additional,results/tables/Table4_main_results.csv,Additional generated experiment output,0,1,1,PASS,532,532.000 B,4,2026-08-04T19:50:16,40b8e90cdd0160d57fab6717bd8078706e91987f74e86732e0d0fc459a2a91ee
additional,results/tables/Table5_ablation_results.csv,Additional generated experiment output,0,1,1,PASS,807,807.000 B,4,2026-08-04T19:50:16,8a92002b4f7290592220608a8d5d0e2107ca63d34c6ece3b701d6caa48ec1473
additional,results/tables/Table6_cn2_distance_results.csv,Additional generated experiment output,0,1,1,PASS,1866,1.822 KiB,28,2026-08-04T19:50:16,253afe3bb679804e71d9da47d54f7a25b436ba9a875d02ceefdcd14c9d256139
additional,results/tables/Table7_statistical_significance.csv,Additional generated experiment output,0,1,1,PASS,911,911.000 B,6,2026-08-04T19:50:16,e6cdfc51b2163102f2a4633f75a7806cfcc8f1c37448bd50dcb21a433ec9c865
additional,results/validation/ablation_by_cn2_distance_report.txt,Additional generated experiment output,0,1,1,PASS,2354,2.299 KiB,,2026-08-04T19:41:15,125e81701ecc2fa434f7482f8dea51e36c04a883d0ea1f14afb2958cdef8f70a
additional,results/validation/ablation_statistical_report.txt,Additional generated experiment output,0,1,1,PASS,3284,3.207 KiB,,2026-08-04T19:43:10,250f4e22b22a182d486e0ac193d140ce0883909fde3054cd72e01bcbbaff75a3
additional,results/validation/baseline_check.txt,Additional generated experiment output,0,1,1,PASS,1902,1.857 KiB,,2026-08-04T18:32:18,d9d845c9c1bf7e30d7bea9312b2686b852e246a4966c14bc5c9d937dc17693d3
additional,results/validation/condition_columns_report.txt,Additional generated experiment output,0,1,1,PASS,4397,4.294 KiB,,2026-08-04T19:39:24,25e52060f36ce8884c51cb8f63cd4d68b1c4a20c8d5ffdca63512c7b4df1baee
additional,results/validation/experiment_manifest.csv,Additional generated experiment output,0,1,1,PASS,253903,247.952 KiB,1392,2026-08-04T19:54:06,e7a6c223d5e6b6001bfaca6cdb8b442c33389e99df9d8302101c3891680b56aa
additional,results/validation/experiment_manifest_report.txt,Additional generated experiment output,0,1,1,PASS,4193,4.095 KiB,,2026-08-04T19:54:06,1ab63e3457db939b34263d68d2fb636807344e09b10b6d5a02dd5b0ae1ae63a2
additional,results/validation/group_split_v1_report.txt,Additional generated experiment output,0,1,1,PASS,827,827.000 B,,2026-08-04T17:14:37,b29da45dc3d8ade9389e47fa1457701336ca3c8226699b759b3de66adab6ab1e
additional,results/validation/h5_physics_audit.txt,Additional generated experiment output,0,1,1,PASS,3764,3.676 KiB,,2026-08-04T13:56:47,4c6157de3dae1a093653befdd86eae2539c1a543de1117aa6552d938ffba5640
additional,results/validation/harmonic_fit_check.txt,Additional generated experiment output,0,1,1,PASS,2322,2.268 KiB,,2026-08-04T18:08:05,3665947906aa5f6e6a5e151f07b08e8b958359e20b7c067dd0269029834b650c
additional,results/validation/mc_vwls_confusion_matrix_report.txt,Additional generated experiment output,0,1,1,PASS,623,623.000 B,,2026-08-04T20:01:31,c18ef0170fd1e70c4261523e114d8435c5d790e5f719caa2eda500ed4203891e
additional,results/validation/mc_vwls_confusion_pattern_report.txt,Additional generated experiment output,0,1,1,PASS,3068,2.996 KiB,,2026-08-04T20:04:40,9112931f7279ddde3354f95898b316b8c9da505386f48d3bfed1a167ed6eea16
additional,results/validation/mc_vwls_error_types_by_condition_report.txt,Additional generated experiment output,0,1,1,PASS,9431,9.210 KiB,,2026-08-04T20:08:48,edbd3353dc2bd0ca98ac1c8a428206462cd334d6825ee0a7f5c3b23d607e449e
