method,scope,target_snr_db,target_occlusion,true_order,sample_count,label_accuracy,order_accuracy,phase_accuracy,mean_phase_bin_error,mean_confidence,mean_visibility,mean_valid_fraction
A0_DAF,overall,,,,33600,0.8456547619047619,0.8920535714285714,0.8558928571428571,0.2860714285714286,0.6827004679539851,0.9627044238179566,1.0
A0_DAF,snr,20.0,,,6720,0.8467261904761905,0.8915178571428571,0.8569940476190476,0.28422619047619047,0.6846307489094672,0.9627044238179566,1.0
A0_DAF,snr,15.0,,,6720,0.846577380952381,0.8916666666666667,0.8566964285714286,0.2837797619047619,0.684379649741089,0.9627044238179566,1.0
A0_DAF,snr,10.0,,,6720,0.8455357142857143,0.8916666666666667,0.8558035714285714,0.28541666666666665,0.6836576614936449,0.9627044238179566,1.0
A0_DAF,snr,5.0,,,6720,0.8458333333333333,0.8924107142857143,0.8558035714285714,0.28616071428571427,0.6823309261388701,0.9627044238179566,1.0
A0_DAF,snr,0.0,,,6720,0.8436011904761904,0.8930059523809524,0.8541666666666666,0.29077380952380955,0.678503353486855,0.9627044238179566,1.0
A0_DAF,occlusion,,0.0,,6720,0.8651785714285715,0.8941964285714286,0.8727678571428571,0.272172619047619,0.7416546226922415,0.9999999999999999,1.0
A0_DAF,occlusion,,0.1,,6720,0.8581845238095238,0.8950892857142857,0.8662202380952381,0.2805059523809524,0.6983357686804433,0.9783871761485289,1.0
A0_DAF,occlusion,,0.2,,6720,0.8483630952380953,0.8886904761904761,0.8586309523809523,0.2864583333333333,0.6529663040954866,0.9621825392332599,1.0
A0_DAF,occlusion,,0.3,,6720,0.8349702380952381,0.8888392857142857,0.8474702380952381,0.2863095238095238,0.6451027663991113,0.9453885082431923,1.0
A0_DAF,occlusion,,0.4,,6720,0.821577380952381,0.893452380952381,0.834375,0.3049107142857143,0.6754428779026436,0.927563895464802,1.0
A0_DAF,snr_occlusion,20.0,0.0,,1344,0.8653273809523809,0.8936011904761905,0.8727678571428571,0.27157738095238093,0.7450617122273657,0.9999999999999998,1.0
A0_DAF,snr_occlusion,20.0,0.1,,1344,0.8586309523809523,0.8943452380952381,0.8675595238095238,0.2760416666666667,0.7002992438533495,0.9783871761485288,1.0
A0_DAF,snr_occlusion,20.0,0.2,,1344,0.8489583333333334,0.8876488095238095,0.859375,0.2849702380952381,0.6548365051221013,0.9621825392332597,1.0
A0_DAF,snr_occlusion,20.0,0.3,,1344,0.8363095238095238,0.8883928571428571,0.8482142857142857,0.28422619047619047,0.6463407357076674,0.9453885082431923,1.0
A0_DAF,snr_occlusion,20.0,0.4,,1344,0.8244047619047619,0.8936011904761905,0.8370535714285714,0.30431547619047616,0.6766155476368516,0.9275638954648019,1.0
A0_DAF,snr_occlusion,15.0,0.0,,1344,0.8653273809523809,0.8936011904761905,0.8720238095238095,0.27232142857142855,0.7448204080175176,0.9999999999999998,1.0
A0_DAF,snr_occlusion,15.0,0.1,,1344,0.859375,0.8950892857142857,0.8683035714285714,0.27455357142857145,0.6998744387349674,0.9783871761485288,1.0
A0_DAF,snr_occlusion,15.0,0.2,,1344,0.8482142857142857,0.8876488095238095,0.8586309523809523,0.2857142857142857,0.6546457683273734,0.9621825392332597,1.0
A0_DAF,snr_occlusion,15.0,0.3,,1344,0.8363095238095238,0.8883928571428571,0.8482142857142857,0.28422619047619047,0.645829839727089,0.9453885082431923,1.0
A0_DAF,snr_occlusion,15.0,0.4,,1344,0.8236607142857143,0.8936011904761905,0.8363095238095238,0.3020833333333333,0.6767277938984974,0.9275638954648019,1.0
A0_DAF,snr_occlusion,10.0,0.0,,1344,0.8653273809523809,0.8943452380952381,0.8720238095238095,0.27157738095238093,0.7431255280813435,0.9999999999999998,1.0
A0_DAF,snr_occlusion,10.0,0.1,,1344,0.8571428571428571,0.8950892857142857,0.8660714285714286,0.27976190476190477,0.6992562144859837,0.9783871761485288,1.0
A0_DAF,snr_occlusion,10.0,0.2,,1344,0.8482142857142857,0.8883928571428571,0.8578869047619048,0.28794642857142855,0.6535755555618452,0.9621825392332597,1.0
A0_DAF,snr_occlusion,10.0,0.3,,1344,0.8355654761904762,0.8876488095238095,0.8482142857142857,0.2857142857142857,0.646249783947081,0.9453885082431923,1.0
A0_DAF,snr_occlusion,10.0,0.4,,1344,0.8214285714285714,0.8928571428571429,0.8348214285714286,0.3020833333333333,0.6760812253919711,0.9275638954648019,1.0
A0_DAF,snr_occlusion,5.0,0.0,,1344,0.8645833333333334,0.8950892857142857,0.8720238095238095,0.27232142857142855,0.7410381458782032,0.9999999999999998,1.0
A0_DAF,snr_occlusion,5.0,0.1,,1344,0.859375,0.8958333333333334,0.8660714285714286,0.27976190476190477,0.697889415325704,0.9783871761485288,1.0
A0_DAF,snr_occlusion,5.0,0.2,,1344,0.8482142857142857,0.8876488095238095,0.859375,0.28720238095238093,0.6529605010684721,0.9621825392332597,1.0
A0_DAF,snr_occlusion,5.0,0.3,,1344,0.8348214285714286,0.8891369047619048,0.8474702380952381,0.28943452380952384,0.644672416937483,0.9453885082431923,1.0
A0_DAF,snr_occlusion,5.0,0.4,,1344,0.8221726190476191,0.8943452380952381,0.8340773809523809,0.3020833333333333,0.6750941514844885,0.9275638954648019,1.0
A0_DAF,snr_occlusion,0.0,0.0,,1344,0.8653273809523809,0.8943452380952381,0.875,0.27306547619047616,0.7342273192567779,0.9999999999999998,1.0
A0_DAF,snr_occlusion,0.0,0.1,,1344,0.8563988095238095,0.8950892857142857,0.8630952380952381,0.2924107142857143,0.6943595310022113,0.9783871761485288,1.0
