case_name,sample_index,target_snr_db,target_occlusion,cn2,distance,true_order,true_phase_bin,predicted_order,predicted_phase_bin,label_correct,order_correct,phase_correct,confidence,harmonic_margin,best_score,second_best_score,order_1_score,order_1_phase_rad,order_1_residual_mse,order_2_score,order_2_phase_rad,order_2_residual_mse,order_3_score,order_3_phase_rad,order_3_residual_mse,order_4_score,order_4_phase_rad,order_4_residual_mse
Correct: weak turbulence,21678,0.0,0.3,9.9999998245167e-15,500.0,2,7,2,7,1,1,1,0.5659503206960373,0.8282426716012113,1.675905795327526,0.28784910205350295,0.28784910205350295,3.0240954413905268,1.5910162443272804e-10,1.675905795327526,5.413325108949236,6.834609722463728e-11,0.18537780284838135,2.5591627168825255,1.6291751345147657e-10,0.11592551057394737,4.682423596925917,1.6462109207112606e-10
Correct: severe turbulence,6933,10.0,0.3,9.9999998245167e-14,750.0,1,4,1,4,1,1,1,0.21935982357828987,0.3976375078830173,0.8162011115198091,0.4916489356037235,0.8162011115198091,3.193157911832526,3.628246591952729e-10,0.4916489356037235,0.17036304742875294,4.31713168444451e-10,0.3037961469881521,3.2210665864094357,4.626175274128451e-10,0.24313375989676478,0.014726222020623661,4.700866991285026e-10
Failure: adjacent phase,8158,5.0,0.3,4.99999991225835e-14,1000.0,1,5,1,4,0,1,0,0.38072022711993403,0.566229442119179,1.6760671581965938,0.7270285862566588,1.6760671581965938,3.175181808212438,8.367148064253468e-11,0.7270285862566588,0.09134363255629462,1.6003029048234247e-10,0.36911600509465303,2.7831489334585626,1.8960376834892104e-10,0.2422460688941335,5.794645492665929,1.9678524868302934e-10
Failure: cross order,37764,0.0,0.4,9.9999998245167e-14,1000.0,4,2,1,4,0,0,0,0.30183664068142635,0.6472173436978985,0.6386583251168293,0.2253075804041662,0.6386583251168293,3.2491577448869253,7.719181198910436e-11,0.0890883722622983,5.808569378037108,9.276610534787711e-11,0.14839515969248238,1.3523269044742907,9.211294508960258e-11,0.2253075804041662,0.8641162272825362,9.08078200329024e-11
