distance,sample_count,correct_count,error_count,same_order_error_count,cross_order_error_count,adjacent_phase_error_count,same_order_adjacent_phase_error_count,phase_only_error_count,order_only_error_count,order_and_phase_error_count,label_accuracy,error_rate,same_order_error_fraction_of_errors,cross_order_error_fraction_of_errors,adjacent_phase_error_fraction_of_errors,same_order_adjacent_phase_error_fraction_of_errors,phase_only_error_fraction_of_errors,order_only_error_fraction_of_errors,order_and_phase_error_fraction_of_errors
250.0,5600,5599,1,1,0,1,1,1,0,0,0.9998214285714285,0.00017857142857142857,1.0,0.0,1.0,1.0,1.0,0.0,0.0
500.0,11200,10488,712,485,227,558,485,485,54,173,0.9364285714285714,0.06357142857142857,0.6811797752808989,0.3188202247191011,0.7837078651685393,0.6811797752808989,0.6811797752808989,0.07584269662921349,0.24297752808988765
750.0,5600,4523,1077,338,739,370,295,338,28,711,0.8076785714285715,0.19232142857142856,0.3138347260909935,0.6861652739090065,0.3435468895078923,0.27390900649953576,0.3138347260909935,0.025998142989786442,0.6601671309192201
1000.0,11200,7887,3313,699,2614,1140,556,699,247,2367,0.7041964285714286,0.29580357142857144,0.21098702082704499,0.789012979172955,0.344099003923936,0.16782372472079687,0.21098702082704499,0.07455478418351946,0.7144581949894355
