model,accuracy_percent,accuracy,precision_macro,recall_macro,f1_macro
ResNet-50,76.75324675324676,0.7675324675324675,0.7703407150684513,0.7675324675324656,0.7680754342855305
Swin-T,74.89177489177489,0.7489177489177489,0.7488425974357628,0.7489177489177472,0.7461239686893275
SAM3 baseline,63.701298701298704,0.637012987012987,0.6430466645959851,0.6370129870129856,0.6377492616351359
SE-SAM3 (Ours),81.1038961038961,0.811038961038961,0.8128945680722623,0.811038961038959,0.8111444910440835
